ID,City,Weekday,Severity,Highway,Daylight
39424,SANTA CLARA,2,0,0,0
39430,SANTA CLARA,3,0,0,1
39861,SANTA CLARA,4,0,0,1
39869,SANTA CLARA,5,0,0,0
39871,SANTA CLARA,7,0,0,0
39872,SANTA CLARA,1,0,0,0
39978,SANTA CLARA,6,0,0,1
39985,SANTA CLARA,2,0,0,1
40385,SANTA CLARA,2,0,0,1
40527,SANTA CLARA,3,0,0,1
40535,SANTA CLARA,2,0,1,1
40559,SANTA CLARA,2,0,1,1
41211,SANTA CLARA,4,0,0,1
41235,SANTA CLARA,6,1,0,1
41246,SANTA CLARA,1,0,0,1
42611,SANTA CLARA,1,0,0,1
42612,SANTA CLARA,3,1,0,0
42788,SANTA CLARA,2,0,0,1
42937,SANTA CLARA,4,0,0,1
42999,SANTA CLARA,4,0,0,1
43867,SANTA CLARA,3,0,0,1
44452,SANTA CLARA,6,0,0,1
44454,SANTA CLARA,7,0,0,1
44455,SANTA CLARA,4,0,0,0
44461,SANTA CLARA,1,0,1,1
44462,SANTA CLARA,3,0,0,1
44560,SANTA CLARA,6,0,0,1
45647,SANTA CLARA,4,0,0,1
45812,SANTA CLARA,6,0,0,1
46314,SANTA CLARA,2,0,0,1
46557,SANTA CLARA,6,0,1,0
46599,SANTA CLARA,4,0,1,0
47175,SANTA CLARA,4,0,0,1
47683,SANTA CLARA,1,0,0,1
47826,SANTA CLARA,5,0,0,0
48308,SANTA CLARA,1,0,0,0
48541,SANTA CLARA,5,0,0,1
49760,SANTA CLARA,2,0,0,0
49812,SANTA CLARA,7,0,1,0
50332,SANTA CLARA,7,0,0,1
50653,SANTA CLARA,3,0,0,0
51764,SANTA CLARA,1,0,0,0
52230,SANTA CLARA,5,0,1,1
52338,SANTA CLARA,3,0,0,0
52349,SANTA CLARA,3,0,1,0
52815,SANTA CLARA,3,0,0,1
53332,SANTA CLARA,2,0,0,1
53552,SANTA CLARA,5,0,1,1
57137,SANTA CLARA,2,0,0,0
57197,SANTA CLARA,3,0,0,1
57956,SANTA CLARA,7,0,0,1
57957,SANTA CLARA,6,0,0,1
57958,SANTA CLARA,6,0,0,1
57959,SANTA CLARA,6,0,0,1
